Fear ,Last year a tree fell on my house while my family was at home. The tree broke through the ceiling just a few feet away from my daughter. The experience was terrifying.,That's very scary. I hope no one got hurt.,5
Fear ,Last year a tree fell on my house while my family was at home. The tree broke through the ceiling just a few feet away from my daughter. The experience was terrifying.,I had a tree house once. ,3
Fear ,Last year a tree fell on my house while my family was at home. The tree broke through the ceiling just a few feet away from my daughter. The experience was terrifying.,So happy everyone was fine!! Everything else can be fixed.,2
Happy,I was so happy when I moved in to my new home. My girlfriend and I have been saving for awhile and we finally got the keys last month. Now we can finally move on with our life plans.,What kind of house are you building?  That sounds great. What are you most excited for? ,5
Happy,I was so happy when I moved in to my new home. My girlfriend and I have been saving for awhile and we finally got the keys last month. Now we can finally move on with our life plans.,Well isn't that kind of scary? Now you are liable for this house and planted down? I would be scared,2
Happy,I was so happy when I moved in to my new home. My girlfriend and I have been saving for awhile and we finally got the keys last month. Now we can finally move on with our life plans.,Oh ok that's good. What's for lunch?,3
Surprised,"When I was younger, my parents picked me up from work with a new car, which really surprised me, I was so excited to have my own car!",Well isn't that kind of scary? Now you are liable for this car and have to do maintenance and pay for gas? I would be scared,1
Surprised,"When I was younger, my parents picked me up from work with a new car, which really surprised me, I was so excited to have my own car!","Wow, that was so awesome of them!  ",2
Surprised,"When I was younger, my parents picked me up from work with a new car, which really surprised me, I was so excited to have my own car!","Wow, that was so awesome of them!  I would be so excited too because your first car is always so memorable. What car was it? ",5
"Fear, Sad",I get irritated with a coworker that gets on my nerves all the time by coming and bothering me smelling like smoke and trying to chat it up,"Yea, I think everyone has those really irritating coworkers, but nobody like that. That must be hard to have to deal with someone so annoying in your workplace",4
"Fear, Sad",I get irritated with a coworker that gets on my nerves all the time by coming and bothering me smelling like smoke and trying to chat it up,Oh ok that's good. What's for lunch?,1
"Fear, Sad",I get irritated with a coworker that gets on my nerves all the time by coming and bothering me smelling like smoke and trying to chat it up,"Yea, I think every has those really irritating coworkers, that must be hard to have to deal with someone so annoying in your workplace",5
Anger,"I am so upset and mad. I cant believe what has happened! I spent all weekend working on my truck to fix a miss in the engine. Despite spending over $200 in parts, it didn't do a thing to fix the miss.",Calm down! Your anger isn't helping matters,1
Anger,"I am so upset and mad. I cant believe what has happened! I spent all weekend working on my truck to fix a miss in the engine. Despite spending over $200 in parts, it didn't do a thing to fix the miss.","You're making too big of a deal about this, stop blowing this out of proportion.",1
Anger,"I am so upset and mad. I cant believe what has happened! I spent all weekend working on my truck to fix a miss in the engine. Despite spending over $200 in parts, it didn't do a thing to fix the miss.","""Just deal, I'm so sick of your anger!""",1
Anger,"I am so upset and mad. I cant believe what has happened! I spent all weekend working on my truck to fix a miss in the engine. Despite spending over $200 in parts, it didn't do a thing to fix the miss.",Sorry to hear that. I hope you find what is the problem with the engine.,3
Anger,"I am so upset and mad. I cant believe what has happened! I spent all weekend working on my truck to fix a miss in the engine. Despite spending over $200 in parts, it didn't do a thing to fix the miss.","I can’t imagine how that must have made you feel, that seems so disheartening. How can I best help you out?",5
